Oklahoma Native Plant Record	2379-4011
Red Feather Journal	2150-5381
Revista Ion	0120-100X
Estudios Políticos	0185-1616
Matics	1978-161X
Data Curation Profiles Directory	2326-6651
Jurnal Teknik Sipil dan Perencanaan	1411-1772
Journal of Nonformal Education	2442-532X
Revista Investigación & Desarrollo	0121-3261
Missionalia: Southern African Journal of Missiology	2312-878X
Health Expectations	1369-7625
Üroonkoloji Bülteni	2147-2270
Gerontology and Geriatric Medicine	2333-7214
Nanotechnology Research and Practice	2312-7856
Modeling of Artificial Intelligence	2312-0355
Estudos Interdisciplinares em Psicologia	2236-6407
National Journal of Laboratory Medicine	2277-8551
Indian Journal of Neonatal Medicine and Research	2277-8527
Revista Interuniversitaria de Investigación en Tecnología Educativa	2529-9638
Daimon: Revista Internacional de Filosofía	1130-0507
Journal of Auditing, Finance and Forensic Accounting	2339-2886
Journal of Natural Resources and Environmental Management	2086-4639
Khazanah Informatika	2477-698X
Profesi Pendidikan Dasar	2406-8012
E-Journal of Tourism	2407-392X
Revista Opinião Jurídica	1806-0420
e-GFOS	1847-8948
Journal of Media Critiques	2056-9793
Disputatio	2254-0601
Mayéutica: Revista Científica de Humanidades y Artes	2343-6158
Visegrad Journal on Bioeconomy and Sustainable Development	1339-3367
Baltic Journal of Real Estate Economics and Construction Management	2255-9671
Archives of Mechanical Technology and Materials	2450-9469
Propaganda in the World and Local Conflicts	2500-3712
mSphere	2379-5042
Indonesian Journal of Tropical and Infectious Disease	2085-1103
Journal of Mechanical Engineering	2450-5471
Jurnal Kawistara	2088-5415
Media Akuakultur	1907-6762
Journal of Dentomaxillofacial Science	2503-0817
Wikijournal of Medicine	2002-4436
Biuletyn Wojskowej Akademii Technicznej	1234-5865
	2311-5521
Fluids	2411-5134
Separations	2297-8739
Narodna Umjetnost	0547-2504
Education Strategies in Medical Sciences	2345-5284
Medical-Surgical Nursing Journal	2322-4169
Egyptian Journal of Petroleum	1110-0621
Endocrinology and Metabolism	2093-596X
Audiology: Communication Research	2317-6431
MAD: Magazine of Aviation Development	1805-7578
Acta Scientifica Naturalis	2367-5144
Educação em Foco	0104-3293
Journal of International Network Center for Fundamental and Applied Research	2413-7588
Journal of Veterinary Research	2450-8608
Indonesian Journal on Computing	2460-9234
Revista ORL	2444-7986
Jurnal Medika Veterinaria	0853-1943
Ciencia y Poder Aéreo	1909-7050
Indonesian Journal of Forestry Research	2355-7079
Revista do GEL	1806-4906
Nature Conservation Research: Zapovednaâ Nauka	2500-008X
Achievements in the Life Sciences	2078-1520
Middle East Fertility Society Journal	1110-5690
Water Science	1110-4929
Future Journal of Pharmaceutical Sciences	2314-7245
Journal of Electrical Systems and Information Technology	2314-7172
Kidney Research and Clinical Practice	2211-9132
IIMB Management Review	0970-3896
Journal of the Egyptian Mathematical Society	1110-256X
Egyptian Informatics Journal	1110-8665
Egyptian Journal of Remote Sensing and Space Sciences	1110-9823
Ain Shams Engineering Journal	2090-4479
Annals of Agricultural Sciences	0570-1783
SSM: Population Health	2352-8273
Journal of Orthopaedics, Trauma and Rehabilitation	2210-4917
International Journal of Women's Dermatology	2352-6475
Revue Gestion et Organisation	2214-4234
Arab Economic and Business Journal	2214-4625
Review of Development Finance	1879-9337
Journal of Ultrasonography	2451-070X
Mining Science	2353-5423
Studies in Second Language Learning and Teaching	2084-1965
Nordic Journal of Digital LIteracy	0809-6724
Uniped	1893-8981
Drug Safety - Case Reports	2198-977X
Drugs Real World Outcomes	2198-9788
Plant Gene	2352-4073
Neuroepigenetics	2214-7845
Energy Reports	2352-4847
Journal of Hydrology: Regional Studies	2214-5818
Malaysian Journal of Pharmaceutical Sciences	1675-7319
Asian Academy of Management Journal of Accounting and Finance	1823-4992
Asian Academy of Management Journal	1394-2603
Journal of the Georgia Public Health Association	2471-9773
REM: International Engineering Journal	2448-167X
Bulletin of Environmental Studies	2414-8121
EMARA: Indonesian Journal of Architecture	2460-7878
Journal of Education, Mahasarakham University	1905-9922
Urban Planning	2183-7635
Icelandic Medical Journal	0023-7213
Case Reports in Nephrology and Dialysis	2296-9705
HeartRhythm Case Reports	2214-0271
African Journal of Emergency Medicine	2211-419X
JAAD Case Reports	2352-5126
Electronic Journal of Biotechnology	0717-3458
Schizophrenia Research: Cognition	2215-0013
St. Petersburg Polytechnic University Journal: Physics and Mathematics	2405-7223
Journal of Dermatology and Dermatologic Surgery	2352-2429
Studia Romanica Posnaniensia	2084-4158
International Soil and Water Conservation Research	2095-6339
Computational Visual Media	2096-0662
Journal of Traditional and Complementary Medicine	2225-4110
Kulturní studia	2336-2766
Pulmonary Therapy	2364-1746
Frontiers of Agricultural Science and Engineering	2095-977X
International Journal of Nuclear Security	2376-9955
Advances in Technology Innovation	2518-2994
Infectious Diseases and Translational Medicine	2411-2917
Cardio-IT	2313-0318
PeerJ Computer Science	2376-5992
Masyarakat: Jurnal Sosiologi	0852-8489
Alchemy: Jurnal Penelitian Kimia	1412-4092
Balaba: Jurnal Litbang Pengendalian Penyakit Bersumber Binatang Banjarnegara	1858-0882
Kesmas: Jurnal Kesehatan Masyarakat Nasional	1907-7505
Cendekia: Jurnal Kependidikan dan Kemasyarakatan	1693-1505
Journal of Pediatric Research	2147-9445
Viral Hepatitis Journal	1307-9441
Mneme: Revista de Humanidades	1518-3394
Toxicology Reports	2214-7500
Journal of Media Literacy Education	2167-8715
International Journal of Supply and Operations Management	2383-2525
Vavilovskij Žurnal Genetiki i Selekcii	2500-0462
Cumhuriyet ??ahiyat Dergisi	2528-9861
Friction	2223-7704
AERA Open	2332-8584
Clinical and Experimental Dental Research	2057-4347
Iranian Journal of Medical Physics	2345-3672
Le Journal de la Cybercriminalité & des Investigations Numériques	2494-2715
Anatolian Journal of Cardiology	2149-2263
Polyolefins Journal	2322-2212
Journal of Feline Medicine and Surgery Open Reports	2055-1169
International Journal of Contemporary Educational Research	2148-3868
International Journal of Educational Research Review	2458-9322
Selçuk Üniversitesi Fen-Edebiyat Fakültesi Edebiyat Dergisi	1300-4921
Ankara Universitesi Egitim Bilimleri Fakultesi Ozel Egitim Dergisi	1304-7639
Metallurgical & Materials Engineering	2217-8961
Tarbiya : Journal of Education in Muslim Society	2356-1416
Indonesian Journal of Geography	0024-9521
Journal of Urban Ecology	2058-5543
Prilozi: Makedonska Akdemija na Naukite i Umetnostite. Oddelenie za Prirodno-matemati?ki i Biotehni?ki Nauki	1857-9027
Geotechnical Research	2052-6156
Plant Breeding and Seed Science	2083-599X
Cahiers de la recherche sur l'éducation et les savoirs	2265-7762
Espace populations sociétés	2104-3752
Anglophonia	2427-0466
Corela	1638-573X
Netcom	0987-6014
Œconomia	2269-8450
Cahiers d’histoire.	2102-5916
Continents manuscrits	2275-1742
Les Carnets de l’ACoSt	2431-8574
Türk Plastik Cerrahi Dergisi	1300-6878
Turkish Journal of Clinics and Laboratory	2149-8296
The Chinese Journal of Global Governance	2352-5207
Journal of Jesuit Studies	2214-1332
Psihologia. Pedagogia special?. Asisten?a social?	1857-0224
Aspekti Publì?nogo Upravlìnnâ	2311-6420
Avances del Cesor	1514-3899
Geothermal Energy Science	2195-478X
Olho d'água	2177-3807
E3	2183-380X
Revista Direito Ambiental e Sociedade	2316-8218
Revista de Ciências Agroambientais	1679-1509
TEDI	1847-9545
Wawasan	2527-3213
Oeno One	2494-1271
Journal of International Social Studies	2327-3585
Journal of Dynamic Decision Making	2365-8037
Studia Redemptorystowskie	1731-710X
Management and Economics Review	2501-885X
Iranian Journal of Plant Biology	2008-8264
Telaah Bisnis	1411-6375
Terra Latinoamericana	0187-5779
Échanges Linguistiques en Sorbonne	2425-1526
International Journal of Neuropsychopharmacology	1469-5111
Patologìâ	2306-8027
Revista de Administração da Fatea	2176-8412
Pensar	1519-8464
Publicaciones en Ciencias y Tecnología	2477-9660
Revista Educação em Saúde	2358-9868
Farmacia Hospitalaria	1130-6343
Journal of Cybersecurity	2057-2093
Glossa	2397-1835
Revista Eletrônica CoMtempo	2176-6231
CIMEL: Ciencia e Investigación Médica Estudiantil Latinoamericana	1680-8398
Journal of Medical and Surgical Research	2351-8200
ARO. The Scientific Journal of Koya University	2307-549X
Malaysian Online Journal of Educational Sciences	2289-3024
Sociedade e Cultura	1415-8566
Accelerando: BJMD	2466-3913
International Journal of Integrated Care	1568-4156
Territoire en Mouvement	1950-5698
Annales Africaines de Médecine	2309-5784
Gestão e Sociedade	1980-5756
Ciencia, Tecnología y Salud	2409-3459
Sinais	1981-3988
Organic Farming	2297-6485
Mordovia University Bulletin	0236-2910
Dermatopathology	2296-3529
International Journal of Recent Contributions from Engineering, Science & IT	2197-8581
Alternatives Rurales	2421-9037
International Journal for Simulation and Multidisciplinary Design Optimization	1779-6288
International Journal of Modern Anthropology	1737-8176
EPJ Applied Metamaterials	2272-2394
Manufacturing Review	2265-4224
Journal of Numerical Cognition	2363-8761
Advances in Statistical Climatology, Meteorology and Oceanography	2364-3587
EXCLI Journal : experimental and clinical sciences	1611-2156
Iranian Journal of Medical Sciences	0253-0716
Arhiv? Vnutrennej Mediciny	2226-6704
Biomedical Photonics	2413-9432
Biotechnologia Acta	2410-7751
Odovtos International Journal of Dental Sciences	1659-1046
Radical Teacher	1941-0832
Ikonomika i Kompût?rni Nauki	2367-7791
Periodicals of Engineering and Natural Sciences (PEN)	2303-4521
Jurnal Kebijakan Perikanan Indonesia	1979-6366
Indian Journal of Advances in Chemical Science	2320-0928
Bengal Journal of Otolaryngology and Head Neck Surgery	2395-2407
Turkish Journal of Agricultural and Natural Sciences	2148-3647
Oradea Journal of Business and Economics	2501-3599
Robotica & Management	1453-2069
Pakistan Armed Forces Medical Journal	0030-9648
Journal of Nanostructures	2251-788X
Lebanese Science Journal	2413-371X
Filolog	1986-5864
Balkan Society of Geometers Proceedings	1843-2654
East European Journal of Psycholinguistic	2312-3265
Hepatology, Medicine and Policy	2059-5166
Advances in Climate Change Research	1674-9278
Journal of Advocacy, Research and Education	2410-4981
Economics and Finance in Indonesia	0126-155X
Journal of Acute Disease	2221-6189
Revista +E	2250-4591
Ars Adriatica	1848-1590
Cogent Medicine	2331-205X
Cogent Environmental Science	2331-1843
Cogent Biology	2331-2025
Cogent Geoscience	2331-2041
Studies in Arts and Humanities	2009-8278
FIP: Journal of Finance and Law	1849-241X
Al Ihkam: Jurnal Hukum & Pranata Sosial	1907-591X
Majalah Kedokteran Andalas	0126-2092
Jurnal Ekonomi Modernisasi	0216-373X
Genomics, Proteomics & Bioinformatics	1672-0229
Virology Reports	2214-6695
The Plant Genome	1940-3372
Muzealnictwo	2391-4815
Prace Komisji Historii Nauki PAU	1731-6715
Management Systems in Production Engineering	2299-0461
Applied Researches in Technics, Technologies and Education	1314-8796
Revista Petra	2359-5302
Farmaciâ i Farmakologiâ (Pâtigorsk)	2307-9266
Im@go. A Journal of the Social Imaginary	2281-8138
TD Tecnologie Didattiche	2499-4324
Noctua	2284-1180
ArcHistoR Architettura Storia Restauro - Architecture History Restoration	2384-8898
Wine Economics and Policy	2212-9774
Batteries	2313-0105
C	2311-5629
Challenges	2078-1547
Safety	2313-576X
Journal of Imaging	2313-433X
James Baldwin Review	2056-9211
Journal of Applied Engineering Sciences	2247-3769
Biomedicinskaâ Inženeriâ i Èlektronika	2311-1100
Revista Brasileira de Planejamento e Desenvolvimento	2317-2363
Nau?no-tehni?eskij Vestnik Informacionnyh Tehnologij, Mehaniki i Optiki	2226-1494
Revista Internacional de Pensamiento Político	1885-589X
Crusader	2413-7502
Social Technologies	2029-7564
Revista General de Información y Documentación	1132-1873
Estudios del ISHiR	2250-4397
Al-Kauniyah Jurnal Biologi	1978-3736
Tidsskrift for velferdsforskning	0809-2052
EDUSAINS	1979-7281
Sosio Didaktika: Social Science Education Journal	2356-1386
IJEE (Indonesian Journal of English Education)	2356-1777
Journal of Patient Experience	2374-3735
Acta Geographica Universitatis Comenianae	1338-6034
Journal of Agricultural Machinery	2228-6829
Journal of Computing and Information Technology	1846-3908
Discourse and Communication for Sustainable Education	2255-7547
Journal of Translational Internal Medicine	2224-4018
International Review of Social Research	2069-8534
Logistics & Sustainable Transport	2232-4968
Prenatal Cardiology	2353-8201
Applied Research in Health and Social Sciences: Interface and Interaction	1822-3338
Social Work/Maatskaplike Werk	2312-7198
Bio-grafía	2027-1034
Sanglap: Journal of Literary and Cultural Inquiry	2349-8064
Journal of Cardiovascular Emergencies	2457-5518
Freshwater Metadata Journal	2312-6604
Waste Technology	2338-6207
Economic Journal of Emerging Markets	2086-3128
Hong Kong Journal of Nephrology	1561-5413
Hong Kong Journal of Occupational Therapy	1569-1861
Intisari Sains Medis	2089-9084
Hong Kong Physiotherapy Journal	1013-7025
Journal of Exercise Science & Fitness	1728-869X
Belitung Nursing Journal	2477-4073
Journal of Visual Art and Design	2337-5795
Agrotrop: Journal on Agriculture Science	2088-155X
Majalah Kulit, Karet, dan Plastik	1829-6971
Journal of the Medical Sciences	0126-1312
Journal of Languages for Specific Purposes	2359-9103
Journal of Information Systems and Telecommunication	2345-2773
Marine Biodiversity Records	1755-2672
Redes	1414-7106
Journal of Ultrafine Grained and Nanostructured Materials	2423-6845
Journal of Physiotherapy	1836-9553
Dental Journal: Majalah Kedokteran Gigi	1978-3728
BMJ Open Gastroenterology	2054-4774
Lazaroa	0210-9778
Genes & Nutrition	1865-3499
Fisheries and Aquatic Sciences	2234-1757
Inflammation and Regeneration	1880-8190
Advances in Simulation	2059-0628
Multiple Sclerosis and Demyelinating Disorders	2056-6115
Indo-European Linguistics	2212-5892
IF-Sophia	2358-7482
Revista Metropolitana de Sustentabilidade	2318-3233
Geologica Acta	1695-6133
Rheumatology and Therapy	2198-6584
LiTheS. Zeitschrift für Literatur- und Theatersoziologie	2071-6346
GMS Journal for Medical Education	2366-5017
Osservatorio Sulla Criminalita' Organizata	2421-5635
Signifikan	2087-2046
JKMA: (Jurnal Kesehatan Masyarakat Andalas) (Andalas Journal of Public Health)	1978-3833
International Journal of Mining and Geo-Engineering	2345-6949
Public Administration	1813-8489
Sancho el Sabio: Revista de Investigación Vasca-Euskal Ikerketa Aldizkaria	1131-5350
Nauka Krasnoâr?â	2070-7568
Acta Facultatis Educationis Physicae Universitatis Comenianae	0520-7371
Pensamiento actual	1409-0112
npj Breast Cancer	2374-4677
npj Computational Materials	2057-3960
npj Genomic Medicine	2056-7944
npj Microgravity	2373-8065
Biodiversity and Natural History	0719-4986
Sensing and Bio-Sensing Research	2214-1804
Cinergis	1519-2512
Indonesian Journal of Business and Entrepreneurship	2407-5434
Malaysian Orthopaedic Journal	1985-2533
Heritage of Nusantara: International Journal of Religious Literature and Heritage	2303-243X
Nano Reviews & Experiments	2002-2727
Journal of Evolutionary Studies in Business	2385-7137
Biomedical Glasses	2299-3932
DeReMa (Development Research of Management): Jurnal Manajemen	1907-0853
Indonesian Journal of Agricultural Science	1411-982X
Jurnal Ekonomi dan Studi Pembangunan	2086-1575
Marketing and Branding Research	2476-3160
EAI Endorsed Transactions on Pervasive Health and Technology	2411-7145
Vìsnik Dnìpropetrovs?kogo Unìversitetu. Serìâ Modelûvannâ	2312-4547
Ciencia y Tecnología para la Salud Visual y Ocular	1692-8415
Journal of International and Comparative Education	2232-1802
Jurnal Elementer	2443-4167
Philologica Canariensia	1136-3169
Journal of Babylon for Humanities Studies	2313-0059
Hungarian Cultural Studies	2471-965X
Journal of Vascular Diagnostics and Interventions	2463-5618
AIMS Agriculture and Food	2471-2086
Ruhuna Journal of Science	1800-279X
Archives of Hygiene Sciences	2251-9203
