Title20;ISO_ABBREV;TITLE;ISSN
QUAT GEOCHRONOL;Quat. Geochronol.;Quaternary Geochronology;1871-1014
QUATERN INT;Quat. Int.;QUATERNARY INTERNATIONAL;1040-6182
TELEMED E-HEALTH;Telemed. e-Health;Telemedicine and e-Health;1530-5627
TENSIDE SURFACT DET;Tenside Surfactants Deterg.;TENSIDE SURFACTANTS DETERGENTS;0932-3414
TERR ATMOS OCEAN SCI;Terr. Atmos. Ocean. Sci.;TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES;1017-0839
TERR ATMOS OCEAN SCI;Terr. Atmos. Ocean. Sci.;TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES;1017-0839
TETRAHEDRON;Tetrahedron;TETRAHEDRON;0040-4020
THEOR PRACT LOG PROG;Theory Pract. Log. Program.;THEORY AND PRACTICE OF LOGIC PROGRAMMING;1471-0684
THER ADV CHRONIC DIS;Ther. Adv. Chronic Dis.;Therapeutic Advances in Chronic Disease;2040-6223
THER DRUG MONIT;Ther. Drug Monit.;THERAPEUTIC DRUG MONITORING;0163-4356
THER HYPOTHERMIA TEM;Ther. Hypothermia Temp. Manag.;Therapeutic Hypothermia and Temperature Management;2153-7658
THERMOCHIM ACTA;Thermochim. Acta;THERMOCHIMICA ACTA;0040-6031
THORAX;Thorax;THORAX;0040-6376
TICKS TICK-BORNE DIS;Ticks Tick-Borne Dis.;Ticks and Tick-Borne Diseases;1877-959X
TM-TECH MESS;tm-Tech. Mess.;tm-Technisches Messen;0171-8096
TOPOL APPL;Topology Appl.;TOPOLOGY AND ITS APPLICATIONS;0166-8641
OPHTHAL PLAST RECONS;Ophthalmic Plast. Reconstr. Surg.;OPHTHALMIC PLASTIC AND RECONSTRUCTIVE SURGERY;0740-9303
OPHTHALMIC GENET;Ophthalmic Genet.;OPHTHALMIC GENETICS;1381-6810
OPHTHALMOLOGE;Ophthalmologe;OPHTHALMOLOGE;0941-293X
OPT LASER ENG;Opt. Lasers Eng.;OPTICS AND LASERS IN ENGINEERING;0143-8166
QUEUEING SYST;Queueing Syst.;QUEUEING SYSTEMS;0257-0130
RADIAT PROT DOSIM;Radiat. Prot. Dosim.;RADIATION PROTECTION DOSIMETRY;0144-8420
RADIOCHIM ACTA;Radiochim. Acta;RADIOCHIMICA ACTA;0033-8230
RADIOPHYS QUANT EL+;Radiophys. Quantum Electron.;Radiophysics and Quantum Electronics;0033-8443
RADIOPROTECTION;Radioprotection;RADIOPROTECTION;0033-8451
RADIOTHER ONCOL;Radiother. Oncol.;RADIOTHERAPY AND ONCOLOGY;0167-8140
RANDOM MATRICES-THEO;Random Matrices-Theor. Appl.;Random Matrices-Theory and Applications;2010-3263
RANDOM STRUCT ALGOR;Random Struct. Algorithms;RANDOM STRUCTURES & ALGORITHMS;1042-9832
RANGELAND J;Rangeland J.;RANGELAND JOURNAL;1036-9872
REACT FUNCT POLYM;React. Funct. Polym.;REACTIVE & FUNCTIONAL POLYMERS;1381-5148
RECENT PAT NANOTECH;Recent Pat. Nanotechnology;Recent Patents on Nanotechnology;1872-2105
REGEN THER;Regen. Ther.;Regenerative Therapy;2352-3204
REGUL CHAOTIC DYN;Regul. Chaotic Dyn.;REGULAR & CHAOTIC DYNAMICS;1560-3547
REGUL TOXICOL PHARM;Regul. Toxicol. Pharmacol.;REGULATORY TOXICOLOGY AND PHARMACOLOGY;0273-2300
REJUV RES;Rejuv. Res.;REJUVENATION RESEARCH;1549-1684
RELIAB ENG SYST SAFE;Reliab. Eng. Syst. Saf.;RELIABILITY ENGINEERING & SYSTEM SAFETY;0951-8320
REMOTE SENS ENVIRON;Remote Sens. Environ.;REMOTE SENSING OF ENVIRONMENT;0034-4257
REMOTE SENS ENVIRON;Remote Sens. Environ.;REMOTE SENSING OF ENVIRONMENT;0034-4257
OPT LASER TECHNOL;Opt. Laser Technol.;OPTICS AND LASER TECHNOLOGY;0030-3992
OPT SWITCH NETW;Opt. Switch. Netw.;Optical Switching and Networking;1573-4277
OPT SWITCH NETW;Opt. Switch. Netw.;Optical Switching and Networking;1573-4277
OPTIM ENG;Optim. Eng.;OPTIMIZATION AND ENGINEERING;1389-4420
ORG PREP PROCED INT;Org. Prep. Proced. Int.;ORGANIC PREPARATIONS AND PROCEDURES INTERNATIONAL;0030-4948
ORG PROCESS RES DEV;Org. Process Res. Dev.;ORGANIC PROCESS RESEARCH & DEVELOPMENT;1083-6160
OSTEOARTHR CARTILAGE;Osteoarthritis Cartilage;OSTEOARTHRITIS AND CARTILAGE;1063-4584
P AM MATH SOC;Proc. Amer. Math. Soc.;PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY;0002-9939
P AM MATH SOC;Proc. Amer. Math. Soc.;PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY;0002-9939
P COMBUST INST;Proc. Combust. Inst.;PROCEEDINGS OF THE COMBUSTION INSTITUTE;1540-7489
P I CIVIL ENG-ENG SU;Proc. Inst. Civ. Eng.-Eng. Sustain.;Proceedings of the Institution of Civil Engineers-Engineering Sustainability;1478-4629
P I CIVIL ENG-GEOTEC;Proc. Inst. Civil Eng.-Geotech. Eng.;PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-GEOTECHNICAL ENGINEERING;1353-2618
P I CIVIL ENG-TRANSP;Proc. Inst. Civil Eng.-Transp.;PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-TRANSPORT;0965-092X
P I MECH ENG B-J ENG;Proc. Inst. Mech. Eng. Part B-J. Eng. Manuf.;PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART B-JOURNAL OF ENGINEERING MANUFACTURE;0954-4054
P I MECH ENG D-J AUT;Proc. Inst. Mech. Eng. Part D-J. Automob. Eng.;PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART D-JOURNAL OF AUTOMOBILE ENGINEERING;0954-4070
P I MECH ENG M-J ENG;Proc. Inst. Mech. Eng. Part M- J. Eng. Marit. Environ.;Proceedings of the Institution of Mechanical Engineers Part M-Journal of Engineering for the Maritime Environment;1475-0902
P I MECH ENG O-J RIS;Proc. Inst. Mech. Eng. Part O-J. Risk Reliab.;Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability;1748-006X
P I MECH ENG P-J SPO;Proc. Inst. Mech. Eng. Part P-J. Sport. Eng. Technol.;Proceedings of the Institution of Mechanical Engineers Part P-Journal of Sports Engineering and Technology;1754-3371
TOXICOL PATHOL;Toxicol. Pathol.;TOXICOLOGIC PATHOLOGY;0192-6233
RESP MED;Respir. Med.;RESPIRATORY MEDICINE;0954-6111
RESP PHYSIOL NEUROBI;Respir. Physiol. Neuro.;RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY;1569-9048
RESP RES;Respir. Res.;RESPIRATORY RESEARCH;1465-993X
RETINA-J RET VIT DIS;Retin.-J. Retin. Vitr. Dis.;RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES;0275-004X
RETROVIROLOGY;Retrovirology;Retrovirology;1742-4690
REV ADV MATER SCI;Rev. Adv. Mater. Sci.;REVIEWS ON ADVANCED MATERIALS SCIENCE;1606-5131
REV AQUACULT;Rev. Aquac.;Reviews in Aquaculture;1753-5123
REV CHEM ENG;Rev. Chem. Eng.;REVIEWS IN CHEMICAL ENGINEERING;0167-8299
REV CHIL INFECTOL;Rev. Chil. Infectol.;Revista Chilena de Infectologia;0716-1018
REV CHIM-BUCHAREST;Rev. Chim.;REVISTA DE CHIMIE;0034-7752
REV CONSTR;Rev. Constr.;Revista de la Construccion;0718-915X
REV ENVIRON HEALTH;Rev. Environ. Health;REVIEWS ON ENVIRONMENTAL HEALTH;0048-7554
MAR ECOL-EVOL PERSP;Mar. Ecol.-Evol. Persp.;Marine Ecology-An Evolutionary Perspective;0173-9565
MAR FRESHWATER RES;Mar. Freshw. Res.;MARINE AND FRESHWATER RESEARCH;1323-1650
MAR GEOL;Mar. Geol.;MARINE GEOLOGY;0025-3227
TRACE ELEM ELECTROLY;Trace Elem. Electrolytes;TRACE ELEMENTS AND ELECTROLYTES;0946-2104
TRAFFIC INJ PREV;Traffic Inj. Prev.;Traffic Injury Prevention;1538-9588
TRANSFUS CLIN BIOL;Transfu. Clin. Biol.;TRANSFUSION CLINIQUE ET BIOLOGIQUE;1246-7820
TRANSFUS MED HEMOTH;Transfus. Med. Hemother.;TRANSFUSION MEDICINE AND HEMOTHERAPY;1660-3796
TRANSL PSYCHIAT;Transl. Psychiatr.;Translational Psychiatry;2158-3188
TRANSL RES;Transl. Res.;Translational Research;1931-5244
TRANSP LETT;Transp. Lett.;Transportation Letters-The International Journal of Transportation Research;1942-7867
TRANSPLANTATION;Transplantation;TRANSPLANTATION;0041-1337
TRANSPORT RES A-POL;Transp. Res. Pt. A-Policy Pract.;TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE;0965-8564
TRANSPORTMETRICA A;Transportmetrica A;Transportmetrica A-Transport Science;2324-9935
TRENDS COGN SCI;TRENDS COGN. SCI.;TRENDS IN COGNITIVE SCIENCES;1364-6613
TRENDS MOL MED;Trends Mol. Med;TRENDS IN MOLECULAR MEDICINE;1471-4914
TRENDS NEUROSCI;Trends Neurosci.;TRENDS IN NEUROSCIENCES;0166-2236
TRIALS;Trials;Trials;1745-6215
TROP BIOMED;Trop. Biomed.;TROPICAL BIOMEDICINE;0127-5720
TROP DOCT;Trop. Dr.;TROPICAL DOCTOR;0049-4755
TROP MED INT HEALTH;Trop. Med. Int. Health;TROPICAL MEDICINE & INTERNATIONAL HEALTH;1360-2276
TSINGHUA SCI TECHNOL;Tsinghua Sci. Technol.;TSINGHUA SCIENCE AND TECHNOLOGY;1007-0214
MAR STRUCT;Mar. Struct.;MARINE STRUCTURES;0951-8339
MATCH-COMMUN MATH CO;Match-Commun. Math. Comput. Chem.;MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY;0340-6253
MATCH-COMMUN MATH CO;Match-Commun. Math. Comput. Chem.;MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY;0340-6253
MATER CHARACT;Mater. Charact.;MATERIALS CHARACTERIZATION;1044-5803
MATER CONSTRUCC;Mater. Constr.;MATERIALES DE CONSTRUCCION;0465-2746
MATER RES EXPRESS;Mater. Res. Express;Materials Research Express;2053-1591
MATERIA-BRAZIL;Materia;Materia-Rio de Janeiro;1517-7076
MATERN CHILD NUTR;Matern. Child Nutr.;Maternal and Child Nutrition;1740-8695
MATH COMP MODEL DYN;Math. Comput. Model. Dyn. Syst.;MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS;1387-3954
MATH COMPUT;Math. Comput.;MATHEMATICS OF COMPUTATION;0025-5718
MATH COMPUT SIMULAT;Math. Comput. Simul.;MATHEMATICS AND COMPUTERS IN SIMULATION;0378-4754
MATH CONTROL RELAT F;Math. Control Relat. Fields;Mathematical Control and Related Fields;2156-8472
MATH LOGIC QUART;Math. Log. Q.;MATHEMATICAL LOGIC QUARTERLY;0942-5616
MATH METHOD APPL SCI;Math. Meth. Appl. Sci.;MATHEMATICAL METHODS IN THE APPLIED SCIENCES;0170-4214
MATH OPER RES;Math. Oper. Res.;MATHEMATICS OF OPERATIONS RESEARCH;0364-765X
MATH PROBL ENG;Math. Probl. Eng.;MATHEMATICAL PROBLEMS IN ENGINEERING;1024-123X
MATH SOC SCI;Math. Soc. Sci.;MATHEMATICAL SOCIAL SCIENCES;0165-4896
MEAT SCI;Meat Sci.;MEAT SCIENCE;0309-1740
REV FISH BIOL FISHER;Rev. Fish. Biol. Fish.;REVIEWS IN FISH BIOLOGY AND FISHERIES;0960-3166
REV FITOTEC MEX;Rev. Fitotec. Mex.;Revista Fitotecnia Mexicana;0187-7380
J MED ULTRASON;J. Med. Ultrason.;Journal of Medical Ultrasonics;1346-4523
J MICRO-NANOLITH MEM;J. Micro-Nanolithogr. MEMS MOEMS;Journal of Micro-Nanolithography MEMS and MOEMS;1932-5150
J MICRO-NANOLITH MEM;J. Micro-Nanolithogr. MEMS MOEMS;Journal of Micro-Nanolithography MEMS and MOEMS;1932-5150
J MICRO-NANOLITH MEM;J. Micro-Nanolithogr. MEMS MOEMS;Journal of Micro-Nanolithography MEMS and MOEMS;1932-5150
J MICROENCAPSUL;J. Microencapsul.;JOURNAL OF MICROENCAPSULATION;0265-2048
ANTIVIR RES;Antiviral Res.;ANTIVIRAL RESEARCH;0166-3542
ANTIVIR RES;Antiviral Res.;ANTIVIRAL RESEARCH;0166-3542
ANZIAM J;Anziam J.;ANZIAM JOURNAL;1446-1811
APPL CATAL A-GEN;Appl. Catal. A-Gen.;APPLIED CATALYSIS A-GENERAL;0926-860X
APPL CATAL B-ENVIRON;Appl. Catal. B-Environ.;APPLIED CATALYSIS B-ENVIRONMENTAL;0926-3373
APPL GEOCHEM;Appl. Geochem.;APPLIED GEOCHEMISTRY;0883-2927
APPL IMMUNOHISTO M M;Appl. Immunohistochem.;APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY;1541-2016
APPL MAGN RESON;Appl. Magn. Reson.;APPLIED MAGNETIC RESONANCE;0937-9347
APPL MATH COMPUT;Appl. Math. Comput.;APPLIED MATHEMATICS AND COMPUTATION;0096-3003
APPL NEUROPSYCH-ADUL;Appl. Neuropsychol.-Adult;Applied Neuropsychology-Adult;2327-9095
APPL NURS RES;Appl. Nurs. Res.;APPLIED NURSING RESEARCH;0897-1897
APPL PHYS A-MATER;Appl. Phys. A-Mater. Sci. Process.;APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING;0947-8396
APPL PHYSIOL NUTR ME;Appl. Physiol. Nutr. Metab.;Applied Physiology Nutrition and Metabolism;1715-5312
INT REV IMMUNOL;Int. Rev. Immunol.;INTERNATIONAL REVIEWS OF IMMUNOLOGY;0883-0185
INT REV NEUROBIOL;Int. Rev. Neurobiol.;International Review of Neurobiology;0074-7742
INT SURG;Int. Surg.;INTERNATIONAL SURGERY;0020-8868
INTEGR CANCER THER;Integr. Cancer Ther.;INTEGRATIVE CANCER THERAPIES;1534-7354
INTEGR COMP BIOL;Integr. Comp. Biol.;INTEGRATIVE AND COMPARATIVE BIOLOGY;1540-7063
INTEGR FERROELECTR;Integr. Ferroelectr.;INTEGRATED FERROELECTRICS;1058-4587
INTERACT CARDIOV TH;Interact Cardiovasc. Thorac. Surg.;Interactive Cardiovascular and Thoracic Surgery;1569-9293
INTERCIENCIA;Interciencia;INTERCIENCIA;0378-1844
INTERNAL MED;Intern. Med.;INTERNAL MEDICINE;0918-2918
INTERNIST;Internist;INTERNIST;0020-9554
INTERVIROLOGY;Intervirology;INTERVIROLOGY;0300-5526
INVERSE PROBL SCI EN;Inverse Probl. Sci. Eng.;INVERSE PROBLEMS IN SCIENCE AND ENGINEERING;1741-5977
INVERTEBR BIOL;Invertebr. Biol.;INVERTEBRATE BIOLOGY;1077-8306
INVERTEBR REPROD DEV;Invertebr. Reprod. Dev.;INVERTEBRATE REPRODUCTION & DEVELOPMENT;0792-4259
INVEST NEW DRUG;Invest. New Drugs;INVESTIGATIONAL NEW DRUGS;0167-6997
IRAN J BASIC MED SCI;Iran. J. Basic Med. Sci.;Iranian Journal of Basic Medical Sciences;2008-3866
CHEM GEOL;Chem. Geol.;CHEMICAL GEOLOGY;0009-2541
CHEM SENSES;Chem. Senses;CHEMICAL SENSES;0379-864X
CHEM TECH FUELS OIL+;Chem. Tech. Fuels Oils;CHEMISTRY AND TECHNOLOGY OF FUELS AND OILS;0009-3092
CHEM VAPOR DEPOS;Chem. Vapor Depos.;CHEMICAL VAPOR DEPOSITION;0948-1907
CHEM-ASIAN J;Chem.-Asian J.;Chemistry-An Asian Journal;1861-4728
CHEMELECTROCHEM;ChemElectroChem;ChemElectroChem;2196-0216
FRESHWATER BIOL;Freshw. Biol.;FRESHWATER BIOLOGY;0046-5070
FRONT AGING NEUROSCI;Front. Aging Neurosci.;Frontiers in Aging Neuroscience;1663-4365
FRONT BEHAV NEUROSCI;Front. Behav. Neurosci.;Frontiers in Behavioral Neuroscience;1662-5153
FRONT COMPUT SCI-CHI;Front.. Comput. Sci.;Frontiers of Computer Science;2095-2228
FRONT COMPUT SCI-CHI;Front.. Comput. Sci.;Frontiers of Computer Science;2095-2228
FRONT INFORM TECH EL;Front. Inform. Technol. Elect. Eng.;Frontiers of Information Technology & Electronic Engineering;2095-9184
FRONT MATER SCI;Front. Mater. Sci.;Frontiers of Materials Science;2095-025X
FRONT NEURAL CIRCUIT;Front. Neural Circuits;Frontiers in Neural Circuits;1662-5110
FRONT NEUROINFORM;Front. Neuroinformatics;Frontiers in Neuroinformatics;1662-5196
FRONT NEUROL;Front. Neurol.;Frontiers in Neurology;1664-2295
FUEL;Fuel;FUEL;0016-2361
FUEL PROCESS TECHNOL;Fuel Process. Technol.;FUEL PROCESSING TECHNOLOGY;0378-3820
FULLER NANOTUB CAR N;Fuller. Nanotub. Carbon Nanostruct.;FULLERENES NANOTUBES AND CARBON NANOSTRUCTURES;1536-383X
FUNCT ANAL APPL+;Funct. Anal. Appl.;FUNCTIONAL ANALYSIS AND ITS APPLICATIONS;0016-2663
FUND CLIN PHARMACOL;Fundam. Clin. Pharmacol.;FUNDAMENTAL & CLINICAL PHARMACOLOGY;0767-3981
FUNGAL BIOL-UK;Fungal Biol.;Fungal Biology;1878-6146
FUNGAL GENET BIOL;Fungal Genet. Biol.;FUNGAL GENETICS AND BIOLOGY;1087-1845
FUNGAL GENET BIOL;Fungal Genet. Biol.;FUNGAL GENETICS AND BIOLOGY;1087-1845
FUZZY SET SYST;Fuzzy Sets Syst.;FUZZY SETS AND SYSTEMS;0165-0114
GAIA;GAIA;GAIA-Ecological Perspectives for Science and Society;0940-5550
AGR SYST;Agric. Syst.;AGRICULTURAL SYSTEMS;0308-521X
AGROCIENCIA-MEXICO;Agrociencia;AGROCIENCIA;1405-3195
AGROECOL SUST FOOD;Agroecol. Sustain. Food Syst.;Agroecology and Sustainable Food Systems;2168-3565
AGRON SUSTAIN DEV;Agron. Sustain. Dev.;Agronomy for Sustainable Development;1774-0746
AI EDAM;AI EDAM-Artif. Intell. Eng. Des. Anal. Manuf.;AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING;0890-0604
COMPUT GEOSCI-UK;Comput. Geosci.;COMPUTERS & GEOSCIENCES;0098-3004
COMPUT GRAPH FORUM;Comput. Graph. Forum;COMPUTER GRAPHICS FORUM;0167-7055
COMPUT IND ENG;Comput. Ind. Eng.;COMPUTERS & INDUSTRIAL ENGINEERING;0360-8352
COMPUT J;Comput. J.;COMPUTER JOURNAL;0010-4620
COMPUT METH PROG BIO;Comput. Meth. Programs Biomed.;COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE;0169-2607
COMPUT METHOD APPL M;Comput. Meth. Appl. Mech. Eng.;COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING;0045-7825
COMPUT OPER RES;Comput. Oper. Res.;COMPUTERS & OPERATIONS RESEARCH;0305-0548
COMPUT SCI ENG;Comput. Sci. Eng.;COMPUTING IN SCIENCE & ENGINEERING;1521-9615
COMPUT SECUR;Comput. Secur.;COMPUTERS & SECURITY;0167-4048
COMPUT STAT DATA AN;Comput. Stat. Data Anal.;COMPUTATIONAL STATISTICS & DATA ANALYSIS;0167-9473
COMPUT THEOR CHEM;Comput. Theor. Chem.;Computational and Theoretical Chemistry;2210-271X
COMPUT VIS IMAGE UND;Comput. Vis. Image Underst.;COMPUTER VISION AND IMAGE UNDERSTANDING;1077-3142
COMPUTATION STAT;Comput. Stat.;COMPUTATIONAL STATISTICS;0943-4062
CONCURRENT ENG-RES A;Concurrent Eng.-Res. Appl.;CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS;1063-293X
CONNECT SCI;Connect. Sci.;CONNECTION SCIENCE;0954-0091
APPL RHEOL;Appl. Rheol.;APPLIED RHEOLOGY;1430-6395
APPL SPECTROSC;Appl. Spectrosc.;APPLIED SPECTROSCOPY;0003-7028
AQUACULTURE;Aquaculture;AQUACULTURE;0044-8486
AQUAT BIOL;Aquat. Biol.;Aquatic Biology;1864-7790
AQUAT MICROB ECOL;Aquat. Microb. Ecol.;AQUATIC MICROBIAL ECOLOGY;0948-3055
AQUAT TOXICOL;Aquat. Toxicol.;AQUATIC TOXICOLOGY;0166-445X
ARAB J CHEM;Arab. J. Chem.;Arabian Journal of Chemistry;1878-5352
ARAB J SCI ENG;Arab. J. Sci. Eng.;ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING;2193-567X
DREWNO;Drewno;Drewno;1644-3985
DRUG AGING;Drugs Aging;DRUGS & AGING;1170-229X
DRUG CHEM TOXICOL;Drug Chem. Toxicol.;DRUG AND CHEMICAL TOXICOLOGY;0148-0545
DRUG DELIV TRANSL RE;Drug Deliv. Transl. Res.;Drug Delivery and Translational Research;2190-393X
DRUG SAFETY;Drug Saf.;DRUG SAFETY;0114-5916
DRY TECHNOL;Dry. Technol.;DRYING TECHNOLOGY;0737-3937
DYNAMIS;Dynamis;Dynamis;0211-9536
J SEP SCI;J. Sep. Sci.;JOURNAL OF SEPARATION SCIENCE;1615-9306
J SERB CHEM SOC;J. Serb. Chem. Soc.;JOURNAL OF THE SERBIAN CHEMICAL SOCIETY;0352-5139
J SHIP RES;J. Ship Res.;JOURNAL OF SHIP RESEARCH;0022-4502
J SIMUL;J. Simul.;Journal of Simulation;1747-7778
J SOC INF DISPLAY;J. Soc. Inf. Disp.;Journal of the Society for Information Display;1071-0922
J SOIL SEDIMENT;J. Soils Sediments;JOURNAL OF SOILS AND SEDIMENTS;1439-0108
J SOL ENERG-T ASME;J. Sol. Energy Eng. Trans.-ASME;JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME;0199-6231
J SOUND VIB;J. Sound Vibr.;JOURNAL OF SOUND AND VIBRATION;0022-460X
J STAT PLAN INFER;J. Stat. Plan. Infer.;JOURNAL OF STATISTICAL PLANNING AND INFERENCE;0378-3758
J STAT SOFTW;J. Stat. Softw.;Journal of Statistical Software;1548-7660
J STEROID BIOCHEM;J. Steroid Biochem. Mol. Biol.;JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY;0960-0760
J STORED PROD RES;J. Stored Prod. Res.;JOURNAL OF STORED PRODUCTS RESEARCH;0022-474X
J STRATEGIC INF SYST;J. Strateg. Inf. Syst.;JOURNAL OF STRATEGIC INFORMATION SYSTEMS;0963-8687
J STRUCT BIOL;J. Struct. Biol.;JOURNAL OF STRUCTURAL BIOLOGY;1047-8477
J STRUCT GEOL;J. Struct. Geol.;JOURNAL OF STRUCTURAL GEOLOGY;0191-8141
GEFAHRST REINHALT L;Gefahrst. Reinhalt. Luft;GEFAHRSTOFFE REINHALTUNG DER LUFT;0949-8036
GEN PHYSIOL BIOPHYS;Gen. Physiol. Biophys.;GENERAL PHYSIOLOGY AND BIOPHYSICS;0231-5882
GENE;Gene;GENE;0378-1119
GENES-BASEL;Genes;Genes;2073-4425
GENET COUNSEL;Genet. Couns.;GENETIC COUNSELING;1015-8146
GENET EPIDEMIOL;Genet. Epidemiol.;GENETIC EPIDEMIOLOGY;0741-0395
J CARD FAIL;J. Card. Fail.;JOURNAL OF CARDIAC FAILURE;1071-9164
J CARDIOVASC NURS;J. Cardiovasc. Nurs.;Journal of Cardiovascular Nursing;0889-4655
J CATARACT REFR SURG;J. Cataract. Refract. Surg.;JOURNAL OF CATARACT AND REFRACTIVE SURGERY;0886-3350
J CELL AUTOM;J. Cell. Autom.;Journal of Cellular Automata;1557-5969
J CELL PLAST;J. Cell. Plast.;JOURNAL OF CELLULAR PLASTICS;0021-955X
J CENT SOUTH UNIV;J. Cent. South Univ.;Journal of Central South University;2095-2899
J CEREBR BLOOD F MET;J. Cereb. Blood Flow Metab.;JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM;0271-678X
J CHEM ECOL;J. Chem. Ecol.;JOURNAL OF CHEMICAL ECOLOGY;0098-0331
J CHEM ENG DATA;J. Chem. Eng. Data;JOURNAL OF CHEMICAL AND ENGINEERING DATA;0021-9568
J CHEM NEUROANAT;J. Chem. Neuroanat.;JOURNAL OF CHEMICAL NEUROANATOMY;0891-0618
J CHEM PHYS;J. Chem. Phys.;JOURNAL OF CHEMICAL PHYSICS;0021-9606
J CHEM SCI;J. Chem. Sci.;JOURNAL OF CHEMICAL SCIENCES;0974-3626
J CHEM TECHNOL BIOT;J. Chem. Technol. Biotechnol.;JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY;0268-2575
J CHEM THEORY COMPUT;J. Chem. Theory Comput.;Journal of Chemical Theory and Computation;1549-9618
J CHILD ADOL PSYCHOP;J. Child Adolesc. Psychopharmacol.;JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY;1044-5463
J CHILD ADOL PSYCHOP;J. Child Adolesc. Psychopharmacol.;JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY;1044-5463
J CHILD HEALTH CARE;J. Child Health Care;Journal of Child Health Care;1367-4935
J CHROMATOGR A;J. Chromatogr. A;JOURNAL OF CHROMATOGRAPHY A;0021-9673
CONSERV GENET;Conserv. Genet.;CONSERVATION GENETICS;1566-0621
CONSERV GENET RESOUR;Conserv. Genet. Resour.;Conservation Genetics Resources;1877-7252
CONSTR BUILD MATER;Constr. Build. Mater.;CONSTRUCTION AND BUILDING MATERIALS;0950-0618
CONTEMP CLIN TRIALS;Contemp. Clin. Trials;Contemporary Clinical Trials;1551-7144
CONTRIB ASTRON OBS S;Contrib. Astron. Obs. S.;Contributions of the Astronomical Observatory Skalnate Pleso;1335-1842
CONTROL ENG APPL INF;Control Eng. Appl. Inform.;Control Engineering and Applied Informatics;1454-8658
HUM-COMPUT INTERACT;Hum.-Comput. Interact.;HUMAN-COMPUTER INTERACTION;0737-0024
HYPERTENS PREGNANCY;Hypertens. Pregnancy;HYPERTENSION IN PREGNANCY;1064-1955
IBM J RES DEV;IBM J. Res. Dev.;IBM JOURNAL OF RESEARCH AND DEVELOPMENT;0018-8646
IEEE ACM T COMPUT BI;IEEE-ACM Trans. Comput. Biol. Bioinform.;IEEE-ACM Transactions on Computational Biology and Bioinformatics;1545-5963
IEEE ACM T COMPUT BI;IEEE-ACM Trans. Comput. Biol. Bioinform.;IEEE-ACM Transactions on Computational Biology and Bioinformatics;1545-5963
IEEE ACM T NETWORK;IEEE-ACM Trans. Netw.;IEEE-ACM TRANSACTIONS ON NETWORKING;1063-6692
IEEE AERO EL SYS MAG;IEEE Aerosp. Electron. Syst. Mag.;IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE;0885-8985
IEEE ANTENN WIREL PR;IEEE Antennas Wirel. Propag. Lett.;IEEE Antennas and Wireless Propagation Letters;1536-1225
IEEE CLOUD COMPUT;IEEE Cloud Comput.;IEEE Cloud Computing;2325-6095
IEEE COMPUT ARCHIT L;IEEE Comput. Archit. Lett.;IEEE Computer Architecture Letters;1556-6056
IEEE COMPUT INTELL M;IEEE Comput. Intell. Mag.;IEEE Computational Intelligence Magazine;1556-603X
IEEE CONSUM ELECTR M;IEEE Consum. Electron. Mag.;IEEE Consumer Electronics Magazine;2162-2248
IEEE GEOSCI REMOTE S;IEEE Geosci. Remote Sens. Lett.;IEEE Geoscience and Remote Sensing Letters;1545-598X
IEEE GEOSCI REMOTE S;IEEE Geosci. Remote Sens. Lett.;IEEE Geoscience and Remote Sensing Letters;1545-598X
IEEE IND ELECTRON M;IEEE Ind. Electron. Mag.;IEEE Industrial Electronics Magazine;1932-4529
